epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,471.475,2.13035,3.44518,1.6928,0.00286,0.85704,0.00556,0.00196,2.27494,3.47793,1.92602,0.0011882,0.0011882,0.0011882
43,479.865,2.12069,3.42976,1.67087,0.00294,0.88133,0.00602,0.00244,2.2741,3.47616,1.95605,0.0011684,0.0011684,0.0011684
44,488.148,2.11476,3.44576,1.66506,0.00348,0.88688,0.01086,0.00449,2.06182,3.42441,1.85322,0.0011486,0.0011486,0.0011486
45,496.712,2.14708,3.44016,1.69053,0.00299,0.89729,0.01256,0.00517,2.13872,3.47345,1.84147,0.0011288,0.0011288,0.0011288
46,505.406,2.1434,3.42605,1.69021,0.00556,0.52949,0.00551,0.00139,2.76794,3.59093,2.40899,0.001109,0.001109,0.001109
47,513.949,2.11287,3.43211,1.66605,0.00298,0.89244,0.00654,0.00275,2.10254,3.43695,1.84464,0.0010892,0.0010892,0.0010892
48,522.731,2.13889,3.41855,1.68675,0.00292,0.87717,0.008,0.00276,2.14191,3.51223,1.85635,0.0010694,0.0010694,0.0010694
49,531.149,2.13103,3.45224,1.66991,0.00483,0.60514,0.00729,0.0025,2.37267,3.52427,2.11337,0.0010496,0.0010496,0.0010496
50,539.847,2.11473,3.44515,1.67533,0.00305,0.91187,0.01016,0.00407,1.99861,3.39141,1.80217,0.0010298,0.0010298,0.0010298
51,548.435,2.13198,3.44643,1.66461,0.00309,0.92505,0.00677,0.00204,2.63347,3.33655,2.27752,0.00101,0.00101,0.00101
52,556.99,2.1348,3.42973,1.68908,0.00272,0.8161,0.00851,0.00288,2.43575,3.43038,2.02021,0.0009902,0.0009902,0.0009902
53,565.492,2.1316,3.42377,1.7283,0.00774,0.48508,0.01352,0.00579,2.19433,3.3858,1.92661,0.0009704,0.0009704,0.0009704
54,574.085,2.05459,3.41818,1.63137,0.0028,0.83622,0.00697,0.00231,2.48126,3.38034,2.0253,0.0009506,0.0009506,0.0009506
55,582.746,2.11199,3.39507,1.66021,0.00292,0.87647,0.01019,0.00439,2.03826,3.43625,1.82241,0.0009308,0.0009308,0.0009308
56,591.411,2.12131,3.4337,1.67824,0.00305,0.91395,0.00889,0.00347,2.22538,3.45968,1.92027,0.000911,0.000911,0.000911
57,599.982,2.12024,3.40767,1.64312,0.0031,0.92922,0.01215,0.00472,2.32028,3.35462,1.92204,0.0008912,0.0008912,0.0008912
58,608.602,2.08409,3.3984,1.64107,0.00304,0.91187,0.01241,0.00426,2.31588,3.47988,1.99786,0.0008714,0.0008714,0.0008714
